IDNum,a,b,c,d,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10
772175,Action,Thriller,2014,NA,Christopher Mann,Bo Svenson,Sal Mazzotta,NA,NA,NA,NA,NA,NA,NA
775440,Action,Drama,Horror,2016,Samuel L. Jackson,John Cusack,NA,NA,NA,NA,NA,NA,NA,NA
780548,Biography,Comedy,Crime,2014,Aaron Yoo,Ron Perlman,Kenny Wormald,Jonathan Daniel Brown,NA,NA,NA,NA,NA,NA
783640,Drama,War,2018,NA,Christopher Plummer,Samuel L. Jackson,Bradley Whitford,Sebastian Stan,NA,NA,NA,NA,NA,NA
787474,Adventure,Animation,Comedy,2014,Ben Kingsley,Nick Frost,Jared Harris,Richard Ayoade,NA,NA,NA,NA,NA,NA
787524,Biography,Drama,2015,NA,Raghuvir Joshi,Jeremy Irons,Malcolm Sinclair,Dev Patel,NA,NA,NA,NA,NA,NA
790770,Biography,Drama,Music,2015,Ewan McGregor,Don Cheadle,Michael Stuhlbarg,NA,NA,NA,NA,NA,NA,NA
803096,Action,Adventure,Fantasy,2016,Ben Foster,Dominic Cooper,Travis Fimmel,NA,NA,NA,NA,NA,NA,NA
808189,Action,Drama,Family,2018,Louis Gossett Jr.,NA,NA,NA,NA,NA,NA,NA,NA,NA
810819,Biography,Drama,History,2015,Ben Whishaw,Eddie Redmayne,NA,NA,NA,NA,NA,NA,NA,NA
816692,Adventure,Drama,Sci-Fi,2014,Matthew McConaughey,NA,NA,NA,NA,NA,NA,NA,NA,NA
821486,Comedy,Music,Romance,2016,Chris Elwood,NA,NA,NA,NA,NA,NA,NA,NA,NA
824755,Comedy,2018,NA,NA,David Tennant,NA,NA,NA,NA,NA,NA,NA,NA,NA
825283,Action,Adventure,Comedy,2016,Luke Gregory Crosby,Patrick Johnson,NA,NA,NA,NA,NA,NA,NA,NA
829150,Action,Drama,Fantasy,2014,Dominic Cooper,Luke Evans,Art Parkinson,NA,NA,NA,NA,NA,NA,NA
831387,Action,Adventure,Sci-Fi,2014,Bryan Cranston,Ken Watanabe,Aaron Taylor Johnson,NA,NA,NA,NA,NA,NA,NA
835775,Action,Biography,Crime,2014,Jim Sturgess,NA,NA,NA,NA,NA,NA,NA,NA,NA
835802,Comedy,Drama,2018,NA,Grant Gustin,William Fichtner,Nick Robinson,NA,NA,NA,NA,NA,NA,NA
837156,Adventure,Comedy,2016,NA,Doug Cox,Jordan Black,Paul Reubens,NA,NA,NA,NA,NA,NA,NA
838194,Comedy,Drama,War,2016,Geoffrey Lewis,Branden Williams,Charlie Talbert,Richard Roundtree,NA,NA,NA,NA,NA,NA
839742,Drama,History,2014,NA,Martin Sheen,Kal Penn,NA,NA,NA,NA,NA,NA,NA,NA
848554,Horror,Sci-Fi,Thriller,2016,Adam Pitman,Gill Gayle,Nathaniel Peterson,Kent Harper,NA,NA,NA,NA,NA,NA
849437,Action,Drama,Sport,2018,Quinton 'Rampage' Jackson,Isaac C. Singleton Jr.,Hector Echavarria,Cary Hiroyuki Tagawa,NA,NA,NA,NA,NA,NA
850678,Romance,2015,NA,NA,Jeff Bredt,Matthew O. Sloan,NA,NA,NA,NA,NA,NA,NA,NA
